"brand","si","Week"
"Overall",0.1909383677817,2015-06-28
"Overall",0.444556545479521,2015-07-05
"Overall",0.500519363945736,2015-07-12
"Overall",0.512121516983853,2015-07-19
"Overall",0.531838429200453,2015-07-26
"Overall",0.539073412474872,2015-08-02
"Overall",0.566054638366623,2015-08-09
"Overall",0.593840077992631,2015-08-16
"Overall",0.612902471326646,2015-08-23
"Overall",0.50085274888026,2015-08-30
"Overall",0.600011800817003,2015-09-06
"Overall",1,2015-09-13
"Overall",0.887921695349765,2015-09-20
"Overall",0.676830385604793,2015-09-27
"Overall",0.410642757069678,2015-10-04
"Overall",0.365941057554726,2015-10-11
"Overall",0.338173747044249,2015-10-18
"Overall",0.345237116888224,2015-10-25
"Overall",0.37252123592091,2015-11-01
"Overall",0.332840704991107,2015-11-08
"Overall",0.349599582746452,2015-11-15
"Overall",0.375433117089401,2015-11-22
"Overall",0.41557999370536,2015-11-29
"Overall",0.437065057702386,2015-12-06
"Overall",0.474566414976493,2015-12-13
"Overall",0.418024758667399,2015-12-20
"Overall",0.329575736517029,2015-12-27
"Overall",0.443941131837809,2016-01-03
